Date_time,target,x1,x2,x3,x4
2016/1/1 0:00,0.736449207,1.926052881,-5.402998665,2.759559769,-6.052353902
2016/1/1 0:30,0.665405027,1.79092122,-5.026296041,2.391908283,-6.022293174
2016/1/1 1:00,0.594360846,1.655789558,-4.649593417,2.024256796,-5.992232446
2016/1/1 1:30,0.582019917,1.917199047,-4.417268622,2.323698884,-5.655159381
2016/1/1 2:00,0.569678987,2.178608535,-4.184943826,2.623140973,-5.318086315
2016/1/1 2:30,0.450108856,2.203620619,-3.713692889,2.634179009,-4.685159095
2016/1/1 3:00,0.330538724,2.228632704,-3.242441952,2.645217044,-4.052231875
2016/1/1 3:30,0.270923539,2.152932412,-2.79376336,2.539082088,-3.48303126
2016/1/1 4:00,0.211308354,2.07723212,-2.345084768,2.432947132,-2.913830645
2016/1/1 4:30,0.191724018,1.945974011,-1.961354904,2.265395415,-2.444965537
2016/1/1 5:00,0.172139682,1.814715902,-1.577625041,2.097843699,-1.976100428
2016/1/1 5:30,0.161747074,1.626793247,-1.302072076,1.859252319,-1.641467956
2016/1/1 6:00,0.151354466,1.438870592,-1.026519111,1.620660938,-1.306835484
2016/1/1 6:30,0.155723776,1.334838027,-0.797175569,1.498393469,-1.025353713
2016/1/1 7:00,0.160093085,1.230805461,-0.567832026,1.376126,-0.743871941
2016/1/1 7:30,0.123069466,1.219295475,-0.400668906,1.38518285,-0.53398091
2016/1/1 8:00,0.086045847,1.207785489,-0.233505785,1.394239699,-0.324089878
2016/1/1 8:30,0.072794532,1.213983174,0.041195393,1.258669982,-0.050201063
2016/1/1 9:00,0.059543217,1.220180859,0.315896572,1.123100265,0.223687751
2016/1/1 9:30,0.036988711,0.519178446,0.568451299,0.312229203,0.433307606
2016/1/1 10:00,0.014434204,-0.181823967,0.821006026,-0.498641859,0.64292746
2016/1/1 10:30,0.007217102,-1.153975087,0.903203433,-1.484140301,0.645368053
2016/1/1 11:00,0,-2.126126208,0.98540084,-2.469638743,0.647808647
2016/1/1 11:30,0.004601487,-2.382444742,0.8989445,-3.974773929,0.886444446
2016/1/1 12:00,0.009202974,-2.638763275,0.81248816,-5.479909115,1.125080244
2016/1/1 12:30,0.054162757,-3.27136981,0.066748991,-6.476162566,-0.945356485
2016/1/1 13:00,0.099122541,-3.903976345,-0.678990178,-7.472416017,-3.015793214
2016/1/1 13:30,0.234158178,-3.592542687,-2.193040861,-6.423802654,-5.482148427
2016/1/1 14:00,0.369193814,-3.281109029,-3.707091543,-5.375189292,-7.94850364
2016/1/1 14:30,0.5174455,-3.174420313,-4.052278063,-5.198014672,-8.386454566
2016/1/1 15:00,0.665697186,-3.067731597,-4.397464583,-5.020840053,-8.824405491
